CCc1cc2OCOc2cc1CC1OC(=O)c2c1cccc2.CN.CO	Noscapine
C=O.CC.CC(=C)CC=O.CC(=O)O.CC(Oc1cc(cc(c1O)Cl)C(O)C)C.CCCC.CN.NCC(=O)O.NCC=O	Phomopsin
CCC1C(CCC2(C1CCC2)C)C1(C)CCC(CC1)O.CCCCCC(C)C	Cholesterol_d6
CC.CCC.CN.Cn1ncc2c1c(=O)nc[nH]2.O=[S](=O)c1ccccc1	Sildenfal
Clc1ccccc1Cl.O=CCCC(=O)C(=O)O	DCAX
C=O.CC.CC(C=O)N.CC=O.CCC(=O)O.Oc1ccccc1.c1ccccc1	NAPQI
C=O.CCCC.CCCCCC=O.Oc1ccccc1O	Protochelin_a
C=O.CC=O.CCC.CCCC.CCCC#C.COC(=O)C.O=CCOC(=O)C	Yuvalamide
C=O.CC(C=O)O.CC=O.CCCCC1(O)CC(C)C(C)(C(O)C)C(=O)CCC1(C)C.COC.c1ccccc1	Paclitaxel
C=O.CC.CCC.CCCO.CO.COC(C)C.NC=O.O=c1cc(O)c2c(o1)c(C)ccc2.Oc1ccccc1	Novobiocin
CC.CCCCC.COC(=O)C	Massoia_lactone
C=O.CCCC(F)C.c1ccc2c(c1)[nH]cc2.c1ccc2c(c1)cccc2	Cannabinoids_
CC.CC(=O)S.CCC=O.CCO.COC.Nc1ncnc2c1nc[nH]2.O=CC(C(C)(C)C)O.OP(=O)(O)O.OP(=O)(OP(=O)(O)O)O.c1ccccc1	PA-CoA
CC(=O)O.CC=O.c1ccccc1	PA-gly
CCCO.CCOCC.CO.COCC.OC1CC(O)c2c(C1O)cc1c(c2)C(=O)c2c(C1=O)cccc2.OCC=O	MMDX
CC(=O)N.CC(=O)O.CC(C)C.CCC=O.c1ccccc1	Ibuprofen_metabolite
CC.CCC.CCC(CCCC(=O)O)O.CCCCCC.OC(=NC(C(=NCC(=O)O)O)C)CCC(C(=O)O)N	Leukotriene_C4
CC=O.CCC(O)C.CCCCCCCCCCCCCC.CCCCCCCCCCCCCCCC=O.CO.COC.OCC(O)C.OCCCO	Glycosphingolipid_Gb4
CC=O.CCC=O.CCCO.COCOC.O=CCCCC(=O)O.OC(=O)CCCCC(C(=O)O)N	Shigella_anhydro_MTP
CC=O.CCC=O.CCCO.CO.COCO.NC(=O)CCCC(=O)O	NOD2_ligands_MDP
CC(=O)O.CC(=O)S.CCC=O.Clc1cccc(c1)Cl.O=CCCC(C(=O)O)N.c1ccccc1	Diclofenac_metabolite
C=O.CC(c1ccccc1)(C)C.c1cccnc1	Motesanib
CC=O.COC.OC=O.OCC(CO)O.c1ccccc1	Acetaminophen_glucuronide
C=CC=O.C=O.CC.CC(C)C.CC=O.CCC.CCC(C)C.CCC=O.CCCN=C(N)N.CN.CO.OC=O.c1ccccc1	Microcystin-LR
